Date;Hour;Net Load
2023-01-01;1;4218.0
2023-01-01;2;3978.0
2023-01-01;3;3797.0
2023-01-01;4;3586.0
2023-01-01;5;3440.0
2023-01-01;6;3436.0
2023-01-01;7;3505.0
2023-01-01;8;3622.0
2023-01-01;9;3482.0
2023-01-01;10;3077.0
2023-01-01;11;2661.0
2023-01-01;12;2470.0
2023-01-01;13;2317.0
2023-01-01;14;2110.0
2023-01-01;15;1996.0
2023-01-01;16;2795.0
2023-01-01;17;3706.0
2023-01-01;18;4331.0
2023-01-01;19;4799.0
2023-01-01;20;4906.0
2023-01-01;21;4885.0
2023-01-01;22;4812.0
2023-01-01;23;4534.0
2023-01-01;24;4284.0
2023-01-02;1;3935.0
2023-01-02;2;3627.0
2023-01-02;3;3555.0
2023-01-02;4;3476.0
2023-01-02;5;3443.0
2023-01-02;6;3519.0
2023-01-02;7;3793.0
2023-01-02;8;4205.0
2023-01-02;9;4387.0
2023-01-02;10;3864.0
2023-01-02;11;3283.0
2023-01-02;12;2920.0
2023-01-02;13;2774.0
2023-01-02;14;2848.0
2023-01-02;15;3044.0
2023-01-02;16;3712.0
2023-01-02;17;4740.0
2023-01-02;18;5502.0
2023-01-02;19;6018.0
2023-01-02;20;6076.0
2023-01-02;21;6013.0
2023-01-02;22;5746.0
2023-01-02;23;5361.0
2023-01-02;24;4952.0
2023-01-03;1;4490.0
2023-01-03;2;4145.0
2023-01-03;3;4014.0
2023-01-03;4;3907.0
2023-01-03;5;3828.0
2023-01-03;6;3926.0
2023-01-03;7;4340.0
2023-01-03;8;4867.0
2023-01-03;9;5171.0
2023-01-03;10;4796.0
2023-01-03;11;4212.0
2023-01-03;12;3827.0
2023-01-03;13;3651.0
2023-01-03;14;3754.0
2023-01-03;15;3845.0
2023-01-03;16;4474.0
2023-01-03;17;5351.0
2023-01-03;18;6102.0
2023-01-03;19;6559.0
2023-01-03;20;6642.0
2023-01-03;21;6526.0
2023-01-03;22;6151.0
2023-01-03;23;5686.0
2023-01-03;24;5205.0
2023-01-01;1;4218.0
2023-01-01;2;3978.0
2023-01-01;3;3797.0
2023-01-01;4;3586.0
2023-01-01;5;3440.0
2023-01-01;6;3436.0
2023-01-01;7;3505.0
2023-01-01;8;3622.0
2023-01-01;9;3482.0
2023-01-01;10;3077.0
2023-01-01;11;2661.0
2023-01-01;12;2470.0
